age,education_level,experience_years,num_certificates,english_level,score_test,has_recommendation,city_size,hired
56,bachelor,40,0,intermediate,60.31852907329001,1,medium,0
46,bachelor,25,4,basic,82.13781413815131,1,large,1
32,primary,10,4,basic,20.71502496242863,0,small,0
60,master,40,1,advanced,78.84260407291237,0,large,1
25,bachelor,5,1,advanced,70.3944442315009,0,large,0
38,high_school,19,2,basic,63.637638236369575,1,medium,0
56,high_school,38,0,advanced,45.62880100582157,0,medium,0
36,bachelor,15,3,advanced,40.10184019239558,0,medium,1
40,bachelor,17,1,intermediate,76.2663593560203,0,large,0
28,bachelor,8,1,intermediate,68.63219910755765,0,small,0
28,bachelor,10,0,basic,68.34828098102655,1,large,0
41,bachelor,19,2,basic,63.46293738582264,0,large,0
53,phd,31,2,intermediate,77.7471144940421,0,medium,1
57,bachelor,34,1,advanced,56.21192234548326,0,small,0
41,master,26,2,intermediate,59.95392280110211,0,small,1
20,high_school,0,3,basic,62.35106611612472,1,medium,0
39,high_school,17,1,basic,61.7951017090488,0,small,0
19,high_school,0,2,intermediate,85.04858736898686,0,small,0
41,bachelor,23,1,intermediate,46.183430920891034,1,medium,0
47,master,24,1,basic,35.68144222845717,0,medium,0
55,primary,40,0,intermediate,43.189606448956326,1,large,0
19,primary,4,2,intermediate,75.25476426787148,0,medium,0
38,master,22,1,basic,63.48838064721324,0,small,0
50,high_school,32,4,basic,41.01919194304128,0,small,0
29,bachelor,9,1,basic,66.49497545524129,0,medium,0
39,bachelor,17,2,advanced,60.14021935300642,0,medium,1
42,master,26,0,intermediate,73.39241894281179,0,large,1
44,high_school,27,0,intermediate,76.91399605167194,1,medium,0
59,high_school,39,2,intermediate,100.0,0,large,0
45,bachelor,24,0,intermediate,47.267737697983,1,small,0
33,master,15,3,basic,37.05859760901954,1,small,1
32,bachelor,9,1,intermediate,73.83676315379181,0,large,0
20,high_school,0,1,intermediate,79.80068955535194,0,medium,0
54,bachelor,37,0,basic,45.86458422568484,0,medium,0
24,master,11,0,basic,45.879067710529306,0,small,0
38,master,17,2,intermediate,70.16549430515435,1,small,1
26,phd,3,4,intermediate,90.71724228650439,0,small,1
56,primary,34,0,basic,51.850868748650484,0,medium,0
35,high_school,21,1,intermediate,66.30600193018608,1,medium,0
21,bachelor,7,1,advanced,36.51282909877742,1,medium,1
42,master,27,2,basic,62.021216883954025,0,large,1
31,high_school,14,2,intermediate,63.29528376022919,0,small,0
26,high_school,9,1,intermediate,87.01310668106261,0,medium,0
43,master,29,3,basic,54.399833093915355,0,small,1
19,primary,3,0,intermediate,75.29615590738288,0,medium,0
37,high_school,21,0,advanced,53.423571512283196,1,large,0
45,bachelor,30,0,advanced,66.35498391756744,0,large,0
24,bachelor,2,2,basic,96.15981781047586,1,small,1
25,bachelor,9,1,advanced,91.89652143982462,0,medium,1
52,high_school,36,1,intermediate,94.40851907335596,0,large,0
31,bachelor,12,1,basic,70.96358311942096,0,large,0
34,bachelor,15,1,basic,61.846063046166954,0,small,0
53,bachelor,33,1,advanced,69.27388522441045,1,medium,1
57,bachelor,38,3,intermediate,71.99072408759294,0,small,1
21,high_school,0,1,advanced,70.83972084633973,0,medium,0
19,primary,0,3,basic,54.32920188568903,0,medium,0
23,high_school,4,1,intermediate,53.726603256456656,1,small,0
59,high_school,40,1,basic,56.05613127294583,1,medium,0
21,bachelor,0,1,basic,81.05473140479853,1,large,0
46,master,23,0,advanced,82.68555689970698,0,small,1
35,bachelor,20,1,basic,100.0,0,large,0
43,master,21,1,intermediate,71.38468657398722,0,medium,1
51,high_school,37,0,advanced,53.17356309897657,1,large,0
27,bachelor,5,2,advanced,57.81664879262073,1,small,1
53,high_school,33,1,intermediate,62.637467446144754,0,small,0
31,high_school,9,2,intermediate,87.59372934439432,0,small,0
48,primary,31,3,intermediate,75.9940822669789,0,large,0
32,bachelor,18,2,basic,44.79787090003698,0,medium,0
25,phd,2,1,basic,64.1473463177681,0,medium,0
31,high_school,18,0,intermediate,42.92785202082186,1,small,0
40,primary,18,2,intermediate,73.88716920432338,0,small,0
57,master,40,2,basic,54.39788308304297,1,medium,1
38,high_school,19,0,basic,55.8314887670192,0,small,0
33,master,11,3,intermediate,36.819030180114225,1,large,1
35,bachelor,20,0,intermediate,76.35227607618435,1,medium,1
41,master,21,1,intermediate,83.13000073074392,1,small,1
43,bachelor,28,0,basic,54.605866062679944,0,small,0
42,bachelor,29,3,intermediate,62.56977566190512,1,small,1
58,bachelor,35,0,advanced,57.81039607195558,1,medium,1
46,bachelor,23,4,basic,61.72610170385246,0,small,0
32,bachelor,9,0,basic,52.705169251761205,0,medium,0
18,high_school,0,0,intermediate,48.49623050034522,1,large,0
42,bachelor,27,2,advanced,85.5292956878775,1,small,1
24,bachelor,8,1,basic,25.404267500623654,0,large,0
