age,gender,service_type,response_time,num_interactions,satisfaction
56,male,premium,2.6,13,0
69,female,premium,4.3,11,0
46,male,basic,10.0,10,0
32,male,standard,4.9,11,0
60,female,standard,5.5,10,0
25,male,standard,2.0,8,0
38,male,premium,5.3,7,0
56,female,standard,8.9,4,0
36,male,premium,7.6,1,0
40,female,standard,3.8,1,1
28,female,standard,4.2,4,1
28,female,basic,2.7,5,1
41,female,standard,3.3,12,0
53,female,standard,1.2,7,0
57,male,basic,4.8,14,0
41,male,premium,8.0,4,0
20,female,premium,5.7,10,0
39,female,standard,7.7,14,0
19,male,premium,7.1,12,0
41,female,standard,3.9,1,1
61,female,basic,3.5,11,0
47,female,basic,3.6,10,0
55,male,standard,1.6,7,0
19,male,basic,5.1,2,1
38,female,basic,0.5,13,0
50,female,standard,6.2,11,0
29,male,standard,5.1,2,1
39,male,basic,5.9,8,0
61,female,premium,7.1,12,0
42,female,premium,5.4,10,0
66,male,standard,8.3,10,0
44,male,standard,6.2,10,0
59,male,premium,3.5,5,1
45,female,basic,4.5,10,0
33,male,premium,0.5,2,1
32,female,premium,3.2,5,1
64,male,premium,4.2,8,0
68,male,premium,6.1,6,0
61,male,standard,3.5,3,1
69,male,standard,2.5,8,0
20,female,basic,1.2,14,0
54,female,basic,3.8,9,0
68,male,basic,8.9,5,0
24,female,basic,5.5,13,0
38,male,premium,6.9,2,0
26,male,standard,3.2,2,1
56,male,standard,1.9,7,0
35,male,basic,2.6,1,1
21,female,basic,4.8,10,0
42,male,premium,1.0,12,0
31,male,premium,3.0,2,1
67,female,basic,3.8,10,0
26,male,standard,2.4,4,1
43,male,standard,0.8,1,1
19,male,standard,5.6,4,1
37,female,basic,5.1,13,0
45,male,standard,6.6,12,0
64,female,premium,2.8,11,0
24,male,premium,6.5,13,0
61,male,basic,8.1,10,0
25,female,premium,5.5,5,1
64,male,basic,3.8,9,0
52,male,standard,5.3,1,1
31,female,standard,3.7,12,0
34,female,standard,3.4,5,1
53,female,premium,6.4,2,0
67,female,basic,4.7,9,0
57,female,standard,7.4,6,0
21,male,basic,4.1,2,1
19,female,standard,4.3,14,0
23,male,premium,3.9,3,1
59,male,premium,2.8,14,0
21,male,basic,6.6,8,0
46,female,premium,9.4,1,0
35,female,premium,4.2,12,0
43,male,basic,3.6,3,1
61,female,standard,3.5,13,0
51,female,premium,3.6,10,0
27,female,basic,8.3,1,0
53,female,premium,3.6,11,0
31,male,premium,3.8,11,0
48,male,premium,2.5,8,0
65,female,premium,5.6,1,1
32,male,basic,4.9,13,0
25,female,basic,2.7,5,1
31,female,basic,3.2,4,1
40,male,premium,8.1,7,0
57,male,premium,5.1,14,0
38,male,premium,5.2,5,1
33,female,basic,5.2,8,0
62,male,premium,7.8,12,0
35,female,standard,2.9,14,0
64,male,premium,4.2,11,0
41,male,standard,4.7,1,1
43,female,premium,1.6,5,1
42,female,basic,3.2,4,1
62,female,premium,7.1,3,0
58,female,standard,6.5,5,0
46,female,standard,6.9,10,0
32,female,premium,3.8,3,1
62,female,standard,4.1,8,0
18,female,standard,1.4,13,0
42,male,basic,6.9,3,0
24,female,premium,7.2,1,0
26,female,premium,7.2,9,0
41,male,premium,8.2,9,0
18,female,standard,5.8,6,1
61,male,premium,8.1,10,0
25,male,premium,4.6,1,1
41,female,basic,1.5,8,0
28,male,basic,6.7,2,0
68,female,basic,1.4,9,0
34,male,standard,5.3,14,0
25,male,premium,6.9,8,0
52,male,basic,5.6,3,1
52,female,basic,9.6,13,0
50,female,basic,1.1,5,1
22,male,premium,4.8,9,0
59,male,premium,5.0,13,0
56,female,premium,2.3,1,1
58,female,standard,2.7,9,0
45,male,standard,3.3,4,1
24,male,basic,2.8,4,1
26,female,premium,4.8,4,1
25,female,basic,3.8,10,0
29,female,premium,5.6,12,0
51,female,premium,6.3,9,0
50,female,premium,6.2,14,0
65,male,standard,4.2,6,1
40,female,standard,5.6,11,0
41,male,premium,7.1,8,0
54,female,basic,5.9,12,0
52,male,premium,8.7,14,0
61,female,premium,7.0,4,0
57,female,basic,8.4,3,0
39,male,premium,0.5,14,0
44,male,basic,5.2,1,1
52,female,standard,4.4,10,0
18,female,standard,4.8,7,0
52,female,basic,3.4,4,1
54,female,standard,5.8,14,0
64,female,standard,1.4,8,0
31,male,basic,5.8,14,0
20,male,standard,3.5,3,1
18,female,premium,4.0,1,1
22,male,premium,5.9,5,1
43,male,basic,5.2,14,0
31,male,standard,7.1,2,0
56,female,premium,3.1,3,1
44,male,premium,4.8,14,0
26,female,standard,6.8,6,0
32,male,standard,5.7,3,1
32,female,premium,5.9,3,1
43,male,premium,7.2,12,0
59,female,basic,4.2,6,1
30,female,basic,3.8,5,1
68,male,premium,6.2,10,0
49,female,basic,4.7,9,0
56,female,premium,7.2,1,0
66,female,premium,5.7,13,0
69,female,basic,3.8,3,1
49,female,basic,5.7,3,1
21,female,standard,3.2,11,0
47,female,standard,6.9,6,0
54,female,standard,2.2,8,0
40,male,premium,7.4,3,0
56,male,basic,5.6,3,1
62,female,premium,4.7,6,1
32,female,basic,6.5,8,0
60,male,premium,6.0,6,0
46,male,standard,7.7,13,0
53,male,standard,7.6,12,0
30,female,standard,5.7,14,0
49,male,premium,3.3,10,0
24,female,basic,3.9,3,1
68,female,basic,4.9,4,1
39,male,standard,7.2,1,0
45,female,standard,4.1,13,0
19,female,standard,4.3,8,0
59,female,standard,8.7,4,0
62,female,basic,4.8,6,1
23,male,premium,3.7,11,0
45,male,premium,6.6,3,0
45,female,premium,4.9,11,0
61,female,premium,2.2,12,0
61,male,standard,7.1,11,0
37,female,standard,3.5,6,1
47,male,standard,5.1,12,0
28,female,premium,4.9,11,0
45,female,standard,5.5,9,0
42,male,standard,0.6,9,0
56,male,basic,4.3,10,0
50,male,basic,7.2,3,0
18,male,standard,7.5,3,0
44,female,basic,3.0,4,1
69,male,basic,6.8,12,0
30,female,standard,3.5,7,0
58,male,standard,4.3,3,1
20,male,standard,4.4,10,0
56,female,standard,5.2,8,0
23,male,premium,7.0,11,0
25,male,premium,5.5,8,0
44,male,standard,4.7,6,1
26,male,basic,6.9,4,0
54,female,standard,3.4,11,0
50,female,standard,4.8,12,0
68,male,basic,7.0,11,0
59,male,premium,6.1,5,0
61,male,standard,4.1,12,0
41,female,standard,2.0,2,1
32,female,premium,5.6,13,0
49,female,premium,1.8,6,1
49,female,basic,4.6,3,1
41,male,premium,7.4,6,0
58,male,premium,6.2,12,0
69,male,premium,1.0,5,1
66,female,basic,5.4,14,0
66,male,premium,4.4,2,1
69,female,premium,2.5,12,0
29,female,basic,5.7,13,0
56,male,premium,4.0,14,0
19,male,premium,4.0,5,1
20,male,basic,5.2,5,1
66,female,standard,3.7,14,0
54,female,basic,5.2,9,0
66,male,premium,3.8,11,0
34,male,premium,3.9,8,0
66,female,premium,7.0,12,0
19,male,basic,7.2,12,0
19,female,premium,1.6,7,0
45,female,premium,6.5,12,0
40,male,basic,7.8,13,0
54,male,standard,8.1,14,0
49,male,standard,6.0,3,0
50,male,premium,2.9,10,0
18,female,basic,6.3,4,0
36,female,premium,3.3,6,1
19,female,basic,4.3,3,1
61,male,basic,5.8,11,0
43,female,standard,3.4,9,0
49,male,standard,2.7,8,0
23,male,basic,5.9,6,1
49,male,premium,8.7,4,0
21,male,standard,7.5,7,0
28,male,premium,6.4,13,0
34,male,standard,7.0,11,0
55,female,standard,6.3,3,0
41,male,premium,5.9,10,0
22,female,standard,6.8,8,0
69,female,standard,2.3,1,1
51,male,premium,5.4,3,1
23,male,standard,4.8,11,0
39,male,standard,5.2,5,1
28,female,standard,4.1,5,1
65,male,premium,6.0,10,0
33,female,basic,3.4,14,0
50,male,premium,3.9,2,1
26,male,basic,3.7,10,0
23,female,standard,6.7,8,0
33,female,basic,5.0,5,1
46,male,premium,4.1,7,0
20,female,premium,4.3,7,0
37,female,standard,5.0,14,0
53,female,basic,8.2,5,0
36,female,standard,2.5,8,0
43,female,standard,6.4,9,0
20,male,premium,5.9,4,1
36,male,basic,3.2,4,1
37,female,basic,7.9,8,0
49,male,basic,6.1,1,0
24,male,basic,4.0,4,1
69,female,standard,1.3,6,1
58,male,standard,5.5,13,0
50,female,premium,4.9,4,1
57,female,standard,2.9,6,1
56,male,standard,2.9,5,1
35,female,premium,6.7,14,0
57,female,premium,1.1,9,0
18,female,premium,5.6,10,0
28,female,standard,4.6,9,0
45,female,standard,6.0,4,0
42,male,premium,4.4,13,0
67,male,premium,5.6,14,0
40,female,premium,3.5,4,1
48,female,standard,4.9,12,0
47,male,standard,6.0,8,0
59,female,basic,5.3,10,0
52,male,standard,5.8,4,1
24,female,standard,3.1,2,1
33,female,standard,3.8,13,0
43,female,premium,3.9,13,0
65,female,standard,4.4,14,0
69,female,premium,7.7,2,0
66,female,basic,4.3,1,1
19,female,basic,2.7,5,1
18,male,premium,6.1,6,0
65,male,premium,7.7,9,0
29,male,premium,2.5,5,1
22,female,standard,8.9,13,0
54,female,basic,5.8,6,1
49,female,premium,7.1,6,0
26,female,standard,7.9,3,0
58,female,basic,6.9,12,0
52,female,standard,4.8,4,1
36,female,basic,7.4,1,0
65,male,standard,5.5,4,1
33,female,basic,7.2,1,0
20,male,basic,7.4,5,0
37,male,standard,2.8,11,0
41,female,premium,6.6,11,0
50,female,basic,4.6,8,0
41,male,premium,5.3,8,0
69,male,standard,5.3,5,1
28,female,premium,5.2,14,0
66,female,premium,8.0,10,0
25,male,premium,2.3,2,1
53,female,premium,1.6,12,0
55,female,premium,1.1,6,1
57,female,basic,7.1,1,0
37,male,basic,3.5,7,0
52,male,basic,5.3,11,0
65,male,standard,4.8,4,1
42,female,premium,3.2,5,1
52,female,basic,6.7,6,0
42,male,standard,4.7,11,0
46,male,basic,4.5,1,1
35,male,basic,5.5,9,0
63,female,premium,6.4,10,0
35,male,standard,3.1,4,1
19,male,premium,6.7,8,0
52,female,premium,7.9,5,0
33,female,basic,2.1,11,0
58,female,premium,5.6,8,0
53,male,standard,4.4,1,1
50,female,premium,6.4,8,0
21,female,premium,2.6,11,0
50,male,premium,8.3,13,0
31,female,basic,1.8,11,0
38,male,standard,4.5,4,1
65,male,basic,5.9,2,1
37,female,basic,3.6,11,0
25,female,basic,3.3,6,1
24,female,basic,5.4,2,1
20,female,basic,5.2,5,1
34,female,standard,5.0,2,1
50,female,premium,6.7,3,0
65,male,basic,4.2,11,0
29,male,basic,5.6,6,1
68,female,standard,4.0,1,1
39,male,standard,3.3,6,1
39,female,premium,4.4,3,1
63,male,standard,4.0,7,0
47,male,premium,4.1,2,1
55,male,basic,7.3,14,0
55,female,basic,4.5,6,1
62,male,premium,3.7,8,0
68,female,standard,5.1,1,1
25,male,premium,5.2,11,0
44,male,standard,2.6,11,0
44,male,basic,4.4,13,0
51,male,standard,4.3,9,0
38,male,premium,4.7,5,1
47,female,premium,6.5,5,0
50,female,basic,5.3,13,0
45,male,standard,7.5,12,0
64,male,standard,5.0,5,1
50,male,standard,8.6,6,0
22,male,basic,4.1,2,1
65,female,standard,3.5,6,1
36,male,premium,6.1,14,0
21,female,standard,7.7,11,0
52,male,basic,2.2,4,1
66,female,standard,4.6,8,0
34,male,standard,3.8,13,0
61,male,premium,5.3,11,0
45,female,standard,5.0,9,0
47,male,premium,7.7,9,0
46,male,premium,4.8,8,0
63,male,basic,7.7,3,0
23,female,premium,4.4,10,0
52,male,premium,6.9,11,0
58,male,basic,5.5,11,0
54,female,premium,8.5,4,0
41,female,basic,2.0,1,1
46,female,standard,2.7,9,0
66,male,basic,8.7,5,0
63,male,premium,3.5,6,1
48,male,basic,3.7,3,1
52,female,premium,3.2,11,0
50,male,standard,7.3,10,0
69,male,basic,2.5,8,0
38,female,standard,5.0,7,0
49,female,premium,4.5,1,1
40,female,premium,7.1,10,0
50,female,standard,3.9,12,0
20,female,basic,5.8,5,1
35,male,basic,2.7,10,0
42,female,premium,9.5,9,0
59,male,standard,4.5,12,0
48,male,standard,5.0,11,0
20,female,basic,8.3,12,0
57,female,basic,3.8,6,1
63,female,basic,8.3,8,0
41,male,standard,4.2,10,0
67,female,basic,6.3,1,0
49,female,basic,3.9,10,0
